Phase,Sprint,Task ID,Task Name,Type,Priority,Assignee Suggestion,Description,Acceptance Criteria,Linked Dev Phase,Status
Phase 1 — Foundation,Sprint 1,FE-001,Project Setup,Infra,MUST,Frontend A,"Initialize Next.js app with TypeScript, ESLint, and Prettier. Set up API client base using Axios/Fetch with interceptors for JWT auth.","Next.js router setup; TypeScript strict mode enabled; API client handles auth headers.",Phase 1,Done
Phase 1 — Foundation,Sprint 1,FE-002,Authentication UI,Auth,MUST,Frontend A,"Build Login, Registration, and OTP verification flows integrating with the Identity Module. Follow Figma DS-011–015.","Login form with validation; 6-digit OTP input with timer; Error handling (wrong pass, expired OTP).",Phase 1,Done
Phase 1 — Foundation,Sprint 1,FE-003,Company Onboarding,Auth,MUST,Frontend B,"Build the company registration flow. Implement 12-digit BIN validation mask. Integrate with Integrity Module.","BIN format validated (12 digits); Form data submitted to /api/v1/companies; Success redirect.",Phase 1,Done
Phase 2 — Core Marketplace,Sprint 2,FE-004,Catalog Page (Grid/List),Pages,MUST,Frontend A,"Main catalog view showing Equipment Cards. Toggle between Grid and List views. Handle pagination from API.","Responsive CSS grid; Pagination/infinite scroll working; Sort by price/date functioning.",Phase 2,Planned
Phase 2 — Core Marketplace,Sprint 2,FE-005,Advanced Search Sidebar,Components,MUST,Frontend B,"Faceted filter sidebar (desktop) and bottom sheet (mobile) for category, price, region. Sync active filters to URL query params.","Filters trigger API calls correctly; URL updates when filters change; Active filter chips working.",Phase 2,Planned
Phase 2 — Core Marketplace,Sprint 2,FE-006,Equipment Detail Page,Pages,MUST,Frontend A,"Full listing detail page. Photo gallery lightbox, specifications table, seller info card, and sticky Contact CTA.","Images load correctly; Specs rendered from dynamic schema; Seller info fetches from Identity.",Phase 2,Planned
Phase 2 — Core Marketplace,Sprint 3,FE-007,Listing Creation Wizard,Pages,MUST,Frontend A & B,"Complex 5-step form. Step 2 requires rendering dynamic inputs based on Category selected in Step 1. Auto-save drafts.","Multi-step context state working; Dynamic specs form maps correctly to JSON payload; Media upload step works.",Phase 2,Planned
Phase 3 — Transactions & Deals,Sprint 4,FE-008,Deal Management Pages,Pages,MUST,Frontend A,"Deals inbox and detail view. Render different action buttons based on the deal's current status and the user's role (buyer/seller).","List of deals showing correct status; Detail view shows timeline; Action buttons (Confirm, Pay) map to API.",Phase 3,Planned
Phase 3 — Transactions & Deals,Sprint 4,FE-009,Payment Flow UI,Payment,MUST,Frontend B,"Checkout interface. Kaspi and Halyk payment method selectors. Handle redirect from provider and success/failure/pending screens.","Provider selection routes correctly; Success/failure parsing from return URL; Amount displayed formatted in KZT.",Phase 3,Planned
Phase 3 — Transactions & Deals,Sprint 4,FE-010,Rental Booking Calendar,Components,MUST,Frontend B,"Date range picker for rentals. Calculate total price = days * rate. Handle conflict/unavailable UI states from API.","Date range selection is intuitive; Prevents selecting disabled dates; Price calculation matches backend.",Phase 3,Planned
Phase 4 — Communication & Media,Sprint 5,FE-011,Real-time Chat UI,Pages,MUST,Frontend A,"WebSocket client integration. Render message bubbles, handling Sent/Delivered/Read states. Implement typing indicators.","WS connection stable; Messages render in correct order; Send/Receive works without refresh.",Phase 4,Planned
Phase 4 — Communication & Media,Sprint 5,FE-012,Notification Dropdown,Components,SHOULD,Frontend B,"Bell icon in header with unread badge calculation. Dropdown list of recent notifications linking to respective entities.","Unread count accurate; Dropdown opens on click; Clicking notification marks read and navigates.",Phase 4,Planned
Phase 4 — Communication & Media,Sprint 5,FE-013,Media Upload Component,Components,MUST,Frontend B,"Reusable drag-and-drop upload zone. Generate presigned URL from backend and PUT directly to MinIO. Track upload progress.","Drag-and-drop works; PUT to MinIO successful; Progress bar updates; Preview thumbnail generated.",Phase 5,Planned
Phase 5 — Admin & Dashboards,Sprint 6,FE-014,Seller Analytics Dashboard,Pages,SHOULD,Frontend A,"Render data visualizations (charts/graphs) for seller stats using Recharts or similar. Plan comparison and upgrade UI.","Charts render API data correctly; Date range picker filters data; Subscription upgrade flow works.",Phase 6,Planned
Phase 5 — Admin & Dashboards,Sprint 7,FE-015,Admin Moderation Queue,Pages,MUST,Frontend B,"Admin-only layout. Split pane view for reviewing listings. Approve/Reject actions with reason modal.","Admin layout distinct; Queue fetches correctly; Batch actions (Approve/Reject) send correct API payloads.",Phase 6,Planned
