Phase,Sprint,Task Name,Type,Priority,Assignee Suggestion,Description,UX Flow,Dev Handoff Notes,Linked Dev Phase,Status,Figma Link,Reviewed By
Phase 1,Sprint 1 – Foundation,Brand Identity & Design Tokens,Design System,MUST,Designer A,"Define color palette (primary, secondary, semantic), typography scale, spacing system, border radius, shadow tokens. Export as Figma variables.",N/A — foundational work before any screens,"Devs need tokens as CSS custom properties. Agree on naming convention: --color-primary-500 format. Must cover: default, hover, active, disabled, error, success states for all interactive elements.",Phase 1,Not Started,,
Phase 1,Sprint 1 – Foundation,Component Library — Base Set,Design System,MUST,Designer A,"Button (5 variants × 4 sizes × 5 states), Input, Textarea, Select, Checkbox, Radio, Toggle, Badge, Spinner, Toast, Modal shell, Tooltip",N/A — library work,"Each component needs ALL states designed: default, hover, focus, active, disabled, loading, error. Devs will implement 1:1 — missing states = missing implementation. Export as Figma component set with auto-layout.",Phase 1,Not Started,,
Phase 1,Sprint 1 – Foundation,Component Library — Layout,Design System,MUST,Designer A,"Header (logged-out / logged-in buyer / logged-in seller / admin), Sidebar, Footer, Page shell, Notification bell + dropdown",Header state changes based on auth role. Notification bell shows unread count badge.,"Header: 4 variants (guest, buyer, seller, admin). Notification dropdown: empty state, 1-5 items, 5+ items with scroll. Mobile responsive breakpoints: 375, 768, 1280, 1440px.",Phase 1,Not Started,,
Phase 1,Sprint 1 – Foundation,Registration Flow — Screen designs,Screens,MUST,Designer B,"Step 1: Choose role (Buyer / Seller / Service Provider). Step 2: Enter name, email, phone, password. Step 3: OTP verification. Step 4: Success + onboarding prompt.",User lands on /register → selects role → fills form → receives OTP to phone → enters OTP → account active → redirected to dashboard or company setup,"States needed: form validation errors per field, OTP resend countdown timer, OTP incorrect error, OTP expired state, success animation. Mobile: full-screen OTP input.",Phase 1,Not Started,,
Phase 1,Sprint 1 – Foundation,Login Flow — Screen designs,Screens,MUST,Designer B,Email+password form. Forgot password flow (enter phone/email → OTP → new password → success).,User enters credentials → submit → success goes to dashboard / failure shows inline error. Forgot password: 3-step modal or separate page.,"Error states: wrong password (with attempt counter after 3 fails), account not verified, account banned (with reason). Forgot password: OTP input same component as registration.",Phase 1,Not Started,,
Phase 1,Sprint 1 – Foundation,Company Onboarding Flow,Screens,MUST,Designer B,"Post-registration prompt to set up company. БИН input with format hint. Company name, address, type. Document upload (БИН certificate, charter, director ID). Submission confirmation + pending state.",New seller/service-provider registers → prompted to set up company → fills company details → uploads documents → sees pending verification status → gets notified when verified,"БИН field: format mask 123456789012 (12 digits), inline validation, KZ-specific hint text. Document upload: supports PDF+image, show file name + size + remove option. Pending state: progress indicator showing steps completed.",Phase 1,Not Started,,
Phase 2,Sprint 2 – Catalog & Search,Catalog / Homepage,Screens,MUST,Designer A,Main catalog grid. Category navigation. Featured listings. Search bar prominent. Filters sidebar. Equipment card component. Pagination / infinite scroll.,User lands on homepage → sees featured equipment + categories → can filter/search immediately without login → clicks card → goes to detail,"Equipment card states: normal, hover (elevation), favorited, sold/unavailable overlay, 'price dropped' badge. Empty state for empty category. Skeleton loading state for initial load. Mobile: 1-col grid with compact card.",Phase 2,Not Started,,
Phase 2,Sprint 2 – Catalog & Search,Equipment Detail Page,Screens,MUST,Designer A,Media gallery (photo + video). Technical specs table. Seller info card. Price display (sale or rental terms). CTA buttons (Contact Seller / Make Offer / Rent). Availability calendar for rentals. Similar equipment carousel.,User clicks listing → detail page loads → views photos → checks specs → sees seller rating → clicks CTA → login gate if not auth'd → redirect to deal flow,"Gallery: lightbox on click, video play inline, thumbnail strip. Specs: scrollable table on mobile, expand/collapse long lists. CTA sticky on mobile scroll. Availability calendar: green/red/grey slots. Seller card: verified badge, rating stars, response rate.",Phase 2,Not Started,,
Phase 2,Sprint 2 – Catalog & Search,Search Results Page,Screens,MUST,Designer B,Search results grid/list toggle. Filter panel (collapsible on mobile). Active filters chips. Sort dropdown. Result count. No-results state with suggestions.,User types query → results update → user applies filters → results narrow → user toggles list/grid view → clicks result → goes to detail,"Filter panel: sticky on desktop, bottom sheet on mobile. Active filter chips: removable individually + clear all. Sort: price asc/desc, newest, relevance. No results: show similar categories, clear filters CTA, contact support link.",Phase 2,Not Started,,
Phase 2,Sprint 2 – Catalog & Search,Category Browse Page,Screens,MUST,Designer B,Category tree navigation. Sub-category cards with equipment count. Breadcrumb. Category-specific filter attributes (crane vs compressor have different spec filters).,User clicks category → sees sub-categories or filtered results → breadcrumb shows path → can go back to parent,Category icons/illustrations per type. Equipment count badge on each category card. Dynamic filter panel changes attributes based on selected category.,Phase 2,Not Started,,
Phase 2,Sprint 2 – Catalog & Search,Comparison Page,Screens,SHOULD,Designer A,Side-by-side table of up to 4 equipment items. Highlight differences. Add/remove items. Sticky header with equipment photos.,User adds items to compare from listing pages → navigates to /compare → sees normalized spec table → differences highlighted → clicks CTA on preferred item,Difference highlighting: non-matching cells get visual treatment (color tint). Empty column if < 4 items selected. Mobile: horizontal scroll. Max 4 items enforced with tooltip on 5th attempt.,Phase 2,Not Started,,
Phase 2,Sprint 2 – Catalog & Search,Favorites / Watchlist Page,Screens,MUST,Designer B,Grid of favorited listings. Price change indicators (↑↓ with delta). Collection tabs. Remove from favorites. Empty state.,User clicks heart on any listing → added to default watchlist → user views /favorites → sees all saved items → price drop badge shown if price decreased since favorited,"Price change indicator: green arrow down + delta amount for drops, grey arrow up for increases. 'Price dropped since you saved' toast. Empty state: illustration + CTA to browse catalog.",Phase 2,Not Started,,
Phase 2,Sprint 3 – Listing Creation,Listing Creation Wizard — Step 1: Category,Screens,MUST,Designer A,Full-screen category picker. Search within categories. Visual category cards with icons. Breadcrumb navigation.,Seller clicks 'Post listing' → must be verified company → step 1: pick category → step 2: fill specs → step 3: upload media → step 4: pricing → step 5: review → submit,Category search: instant filter as user types. Visual hierarchy: industry → type → sub-type. Selected state clearly visible. Back button always available.,Phase 2,Not Started,,
Phase 2,Sprint 3 – Listing Creation,Listing Creation Wizard — Step 2: Specifications,Screens,MUST,Designer A,"Dynamic form rendered from category schema. Text, number, dropdown, multi-select field types. Required field indicators. Condition selector (new/used). Year, manufacturer fields.",After category selected → form fields dynamically change to match category schema (crane fields ≠ compressor fields) → validation inline as user fills,"Dynamic form: fields appear/disappear based on category. Number inputs with unit labels (kW, kg, m). Required fields marked. Progress indicator showing step 2/5. Auto-save draft.",Phase 2,Not Started,,
Phase 2,Sprint 3 – Listing Creation,Listing Creation Wizard — Step 3: Media Upload,Screens,MUST,Designer B,Drag-and-drop upload zone. Image reorder (drag handles). Video upload option. Progress bars. Thumbnail previews. Primary photo selector.,User drags photos onto zone or clicks to browse → photos upload to MinIO directly → thumbnails show with progress → user reorders → selects primary → next,"Upload states: idle, dragging-over, uploading (progress bar per file), success, error (retry). Min 1 photo required enforcement. Max 20 photos. Video: 1 max, size warning. Reorder via drag. Primary photo marked with star.",Phase 2,Not Started,,
Phase 2,Sprint 3 – Listing Creation,Listing Creation Wizard — Steps 4–5: Pricing & Review,Screens,MUST,Designer B,Sale price OR rental pricing (daily/weekly/monthly rates). Negotiable toggle. Location picker. Availability date range for rentals. Final review screen before submit.,User sets price → optionally sets rental periods → picks location on 2GIS map picker → review all entered data → submit → moderation pending state,"Price: sale vs rental toggle changes fields. Rental: multiple rate tiers (day/week/month). Location: map picker with 2GIS, or manual address input. Review: all data shown read-only with edit links per section. Submit: loading state → success with listing ID.",Phase 2,Not Started,,
Phase 2,Sprint 3 – Listing Creation,Seller Dashboard — My Listings,Screens,MUST,Designer A,"Table/list of own listings. Status badges (draft, pending, active, archived). View count. Quick actions: edit, deactivate, boost. Stats summary cards at top.",Seller visits /account/listings → sees all their listings → can filter by status → clicks listing → edits or views stats,"Status badges: color-coded. View count with sparkline. Empty state for new sellers. Bulk actions (deactivate selected). Stats at top: total active, total views this month, pending moderation.",Phase 2,Not Started,,
Phase 3,Sprint 4 – Deals & Payments,Deal Initiation — Contact Seller / Make Offer,Screens,MUST,Designer B,Modal or side panel triggered from listing detail. Message field. Offer price input (if making offer). Rental date picker (if rental). Submit CTA.,Buyer clicks CTA on listing → modal opens → fills message and/or price → submits → deal created → redirected to deals inbox → chat opened automatically,"Login gate: if not logged in, trigger auth modal then return. Date picker: range selector for rentals, validate against availability calendar. Success: deal created confirmation with link to deal page.",Phase 3,Not Started,,
Phase 3,Sprint 4 – Deals & Payments,Deals Inbox,Screens,MUST,Designer A,"Split view (or list on mobile): deal list on left, deal detail on right. Tabs: As Buyer / As Seller. Status filter. Deal cards with equipment thumb, counterparty, status badge, last activity.",User navigates to /deals → sees all deals → filters by role (buyer/seller) → clicks deal → sees detail on right → takes actions,"Deal card states: new inquiry (highlighted), awaiting response, confirmed, payment pending, in progress, completed, cancelled, disputed. Unread indicator. Empty state per tab.",Phase 3,Not Started,,
Phase 3,Sprint 4 – Deals & Payments,Deal Detail Page,Screens,MUST,Designer A,"Deal timeline (vertical stepper). Equipment snapshot (price, photo, name — frozen at deal creation). Buyer + seller info. Action buttons contextual to status + role. Payment status. Document links. Chat CTA.",Buyer or seller clicks deal → sees full deal detail → timeline shows history → takes available action based on their role and current status,"Timeline: each status change is a node with timestamp and actor. Action buttons: only show actions valid for current user's role at current status. Payment block: shows amount, method, status. Documents: list with download links. Mobile: tabbed layout (Overview / Timeline / Documents / Chat).",Phase 3,Not Started,,
Phase 3,Sprint 4 – Deals & Payments,Payment Flow,Screens,MUST,Designer B,"Payment initiation screen (amount, method selection: Kaspi/Halyk). Redirect to provider. Return screens: success, failure, pending.",Deal confirmed → payment initiated → user selects Kaspi or Halyk → redirected to provider page → returns to platform → success/failure screen shown,"Payment method selector: Kaspi logo vs Halyk logo cards. Amount breakdown: equipment price + platform commission + any service fees. Success: confirmation with deal ID, next steps. Failure: reason if available, retry button, contact support link.",Phase 3,Not Started,,
Phase 3,Sprint 4 – Deals & Payments,Review Submission,Screens,MUST,Designer B,"Modal triggered post-deal completion. Rating sliders per dimension (reliability, condition, communication). Text comment. Anonymous option. Submit.",Deal marked complete → 7-day window to review → banner shown in deal page → click 'Leave review' → modal → submit → score updates on counterparty profile,"Rating: 1–5 stars per dimension, not just one overall. Character count on comment (max 500). Already reviewed state (show submitted review). Review prompt: appears as banner 24h after deal completion, reminder notification after 3 days.",Phase 3,Not Started,,
Phase 3,Sprint 4 – Deals & Payments,Public Company Profile,Screens,MUST,Designer A,"Company name, logo, verified badge, description. Rating breakdown (overall + per dimension). Reviews list with pagination. Active listings preview. Member since. Response rate.",User clicks seller name on listing or deal → navigates to company profile → sees trust signals → browses their listings,"Verified badge: prominent, tooltip explaining what verification means. Rating: star display + numeric + review count. Reviews: most recent first, filterable by rating. Empty review state for new companies.",Phase 3,Not Started,,
Phase 4,Sprint 5 – Communication,Chat Window,Screens,MUST,Designer B,Full chat interface. Message bubbles (own right / other left). Timestamps. Read receipts (✓✓). Typing indicator. File attachment. Emoji (optional). Deal info sidebar.,Buyer and seller are in a deal → click 'Open chat' → chat window opens tied to that deal → messages in real time → offline messages shown on reconnect,"Message states: sent (✓), delivered (✓✓), read (✓✓ blue). Long messages: full display, no truncation in chat. File attachments: image preview inline, other files as download card. Typing indicator: animated dots. Deal info sidebar: collapsible, shows deal status + quick actions. Mobile: full screen, deal info in top bar.",Phase 4,Not Started,,
Phase 4,Sprint 5 – Communication,Conversations List,Screens,MUST,Designer B,List of all active conversations. Last message preview. Unread count badge. Equipment thumbnail. Counterparty name + verified badge. Status of associated deal.,User navigates to /chat → sees all conversations → unread ones highlighted → clicks → opens chat window,"Unread: bold text + count badge. Last message preview: truncated to 1 line, show media attachment icon if last message was file. Empty state: 'Start a deal to begin chatting'. Search conversations by counterparty name.",Phase 4,Not Started,,
