Phase,Sprint,Task ID,Task Name,Type,Priority,Assignee Suggestion,Description,Acceptance Criteria,Linked Frontend Task,Status
Phase 1 — Foundation,Sprint 1,BE-001,Setup & Auth Middleware,Infra,MUST,Backend A,"Set up Go module, Fiber router, PostgreSQL pgx pool, Redis client. Implement JWT validation middleware and Redis rate limiting.","JWT validates in-process; Rate limit restricts reqs/sec; Zerolog JSON tracing configured.",FE-001,Done
Phase 1 — Foundation,Sprint 1,BE-002,Identity Module,Auth,MUST,Backend A,"Users DB table. Registration (password hash), Login (JWT issue), and OTP verification endpoints. Implements UserProvider contract.","Registration, Login, OTP verification endpoints active. PostgreSQL & Redis state mutates correctly.",FE-002,Done
Phase 1 — Foundation,Sprint 1,BE-003,Integrity Module,Auth,MUST,Backend B,"Companies DB table. 12-digit BIN format validation. Company CRUD endpoints. Implements CompanyProvider contract.","Company CRUD functions; 12-digit BIN format validation enforces structure; Status transition works.",FE-003,Done
Phase 2 — Core Marketplace,Sprint 2,BE-004,Catalog Module,Core,MUST,Backend A,"Equipment and Categories tables. Dynamic attribute validation based on category schema JSON. Compare equipment logic.","Equipment CRUD active; Category hierarchy defined in DB; Dynamic attributes enforce DB constraints.",FE-004,Planned
Phase 2 — Core Marketplace,Sprint 3,BE-005,Listing Module,Core,MUST,Backend B,"Listings table. State machine (draft → moderation → active → archived). Pricing constraints (fixed, rental per-day).","State machine validation rules applied; Pricing variations stored and queried correctly.",FE-007,Planned
Phase 2 — Core Marketplace,Sprint 3,BE-006,Search Module,Core,MUST,Backend A,"Set up OpenSearch index. Write Kafka consumer for equipment.* events to sync index. 2GIS API integration for geo.","OpenSearch index active; Kafka consumer syncs equipment.* events within 5s; 2GIS geo works.",FE-005,Planned
Phase 3 — Transactions & Deals,Sprint 4,BE-007,Deal Module,Transactions,MUST,Backend B,"Deals table. Deal state transitions (inquiry → negotiation → confirmed). Emits deal.status.changed to Kafka.","Deal state machine enforces invalid transitions; Emits kafka events successfully.",FE-008,Planned
Phase 3 — Transactions & Deals,Sprint 4,BE-008,Payment Module,Transactions,MUST,Backend A,"Kaspi and Halyk webhook handling. Escrow hold/release logic mapping to DB state. Generate invoice records.","Kaspi/Halyk integrations functional; Escrow hold/release modifies DB balance securely; Invoice generation.",FE-009,Planned
Phase 3 — Transactions & Deals,Sprint 4,BE-009,Booking Module,Transactions,MUST,Backend B,"Rental calendar logic. Hold pattern: Redis TTL temp lock leading to pessimistic PG row lock on confirmation.","Rental calendar conflict detection works; Redis TTL locks slots temporarily; PG locks confirm slots.",FE-010,Planned
Phase 4 — Communication,Sprint 5,BE-010,Chat Module,Comm,MUST,Backend A,"Fiber WebSocket upgrade endpoint. Store threaded messages in MongoDB. Broadcast events. Update Redis presence/online status.","Fiber WebSockets upgrade successful; MongoDB message threads persist; Redis pub/sub presence accurate.",FE-011,Planned
Phase 4 — Communication,Sprint 5,BE-011,Notification Module,Comm,MUST,Backend B,"Kafka consumer listening to deal, message events. Routes to FCM (Push), Postal SMTP (Email), and MongoDB (In-app feed).","Kafka consumer routes successfully to FCM, Postal SMTP; MongoDB in-app feed populates.",FE-012,Planned
Phase 5 — Media & Intelligence,Sprint 5,BE-012,Media Module,Media,MUST,Backend A,"Generate MinIO presigned URLs for client direct-upload. Integrate imgproxy webhook for resizing rules.","MinIO presigned URLs generated securely; imgproxy integration processes images successfully.",FE-013,Planned
Phase 5 — Media & Intelligence,Sprint 6,BE-013,Document Module,Media,SHOULD,Backend B,"HTML → PDF generator running Gotenberg. Merges DB contract data with PDF template and uploads to MinIO.","Gotenberg HTML→PDF generation templates map successfully; Resulting PDF uploaded to MinIO.",,Planned
Phase 5 — Media & Intelligence,Sprint 6,BE-014,Analytics Module,Analytics,SHOULD,Backend A,"Kafka consumer aggregating platform events. Batch inserts into PostgreSQL pre-aggregated views (daily/weekly).","Kafka event aggregation successful; PostgreSQL pre-aggregated views update daily.",FE-014,Planned
